ambassador,grand 1500 dsz bsiii
ambassador,classic 2000 dsz ac ps
ambassador,grand 2000 dsz pw cl
ambassador,classic 1500 dsl ac
ashok,leyland stile le
audi,q3 2.0 tdi quattro premium plus
audi,q3 35 tdi quattro premium plus
audi,a4 1.8 tfsi
audi,q5 2.0 tdi
audi,q7 3.0 tdi quattro
audi,a3 35 tdi premium plus
audi,q5 35tdi premium plus
audi,a6 2.0 tdi technology
audi,a4 35 tdi premium plus
audi,q3 35 tdi quattro technology
audi,a3 40 tfsi premium
audi,q7 3.0 tdi quattro premium plus
audi,q5 3.0 tdi quattro
audi,a6 2.0 tdi  design edition
audi,a4 2.0 tdi 177 bhp premium plus
audi,a6 35 tfsi matrix
audi,q5 45 tdi quattro technology
audi,a4 2.0 tdi
audi,q7 35 tdi quattro premium
audi,a6 2.0 tdi premium plus
audi,a6 2.0 tdi
bmw,x4 m sport x xdrive20d
bmw,x7 xdrive 30d dpe
bmw,x3 xdrive20d
bmw,5 series 520d sport line
bmw,5 series 530d
bmw,x1 sdrive20d m sport
bmw,3 series 320d sedan
bmw,x1 sdrive20d
bmw,3 series 320d prestige
bmw,5 series 520d luxury line
bmw,6 series gt 630d luxury line
bmw,x1 sdrive 20d sportline
bmw,3 series 320d luxury line
bmw,3 series 320d highline
bmw,5 series 523i
bmw,7 series 730ld
bmw,3 series 320d luxury plus
bmw,x6 xdrive30d
bmw,3 series 320d gt luxury line
bmw,3 series 320d corporate edition
bmw,x5 3.0d
bmw,3 series 320d
bmw,3 series 320d luxury line plus
bmw,5 series 525d
bmw,5 series 520d
bmw,x1 sdrive20i xline
bmw,3 series gt luxury line
chevrolet,optra magnum 2.0 lt
chevrolet,beat diesel lt
chevrolet,tavera neo 3 9 str bsiii
chevrolet,beat diesel
chevrolet,sail lt abs
chevrolet,tavera neo ls b3 - 7(c) seats bsiii
chevrolet,spark 1.0 lt
chevrolet,captiva lt
chevrolet,cruze ltz at
chevrolet,cruze ltz
chevrolet,beat diesel ls
chevrolet,beat lt
chevrolet,sail hatchback lt abs
chevrolet,tavera b1-10 seats bsii
chevrolet,spark 1.0 e
chevrolet,optra 1.6 lt royale
chevrolet,sail hatchback 1.2
chevrolet,tavera neo 3 lt 9 seats bsiii
chevrolet,aveo u-va 1.2 ls
chevrolet,aveo u-va 1.2
chevrolet,sail 1.3 ls
chevrolet,tavera neo 3 10 seats bsiii
chevrolet,sail hatchback ls abs
chevrolet,sail 1.2 lt abs
chevrolet,optra magnum 2.0 ls
chevrolet,optra magnum 1.6 lt petrol
chevrolet,beat ls
chevrolet,sail hatchback diesel
chevrolet,spark 1.0 ls
chevrolet,tavera b2 8 seats bsiii
chevrolet,tavera neo lt-l - 9 seats bsii
chevrolet,spark 1.0 lt lpg
chevrolet,enjoy 1.3 tcdi ls 8
chevrolet,spark 1.0 ps
chevrolet,sail 1.2 ls
chevrolet,sail 1.2 ls abs
chevrolet,enjoy tcdi ltz 7 seater
chevrolet,enjoy 1.3 tcdi ls 7
chevrolet,spark 1.0
chevrolet,captiva 2.2 lt
chevrolet,tavera neo 3 ls 10 seats bsiii
chevrolet,beat diesel lt option
chevrolet,trailblazer ltz 4x2 at
chevrolet,sail hatchback petrol
chevrolet,tavera neo 3 ls 10 str
chevrolet,tavera b3 lt l1 10 seats bsiii
chevrolet,tavera neo ls b3 - 10 seats bsiii
chevrolet,tavera ls b3 10 seats bsii
chevrolet,enjoy petrol ls 7 seater
chevrolet,tavera neo 3 ls 9 str bsiii
